O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Interest Area,Second Interest Area,Third Interest Area,Shown in Fewer Occupations
IC,4,33-3021.06,Intelligence Analysts,,,
IRC,4,19-2032.00,Materials Scientists,,,
IRC,4,29-2011.00,Medical and Clinical Laboratory Technologists,,,
ICR,4,29-2036.00,Medical Dosimetrists,,,
IRC,4,19-1022.00,Microbiologists,,,
IRC,4,17-2161.00,Nuclear Engineers,,,
ICR,4,19-5011.00,Occupational Health and Safety Specialists,,,
ICR,4,15-1299.04,Penetration Testers,,,
IRC,4,17-2199.07,Photonics Engineers,,,
IRC,4,19-2099.01,Remote Sensing Scientists and Technologists,,,
IC,4,19-4061.00,Social Science Research Assistants,,,
ICR,4,15-1252.00,Software Developers,,,
ICR,4,15-1253.00,Software Quality Assurance Analysts and Testers,,,
IEC,4,13-1199.05,Sustainability Specialists,,,
IC,4,19-3099.01,Transportation Planners,,,
ICR,4,17-2112.02,Validation Engineers,,,
IRC,4,11-9121.02,Water Resource Specialists,,,
IAC,4,15-1255.00,Web and Digital Interface Designers,,,
IR,4,19-1023.00,Zoologists and Wildlife Biologists,,,
IS,5,29-1141.02,Advanced Practice Psychiatric Nurses,,,
ISR,5,29-1229.01,Allergists and Immunologists,,,
ISR,5,29-1211.00,Anesthesiologists,,,
IR,5,19-1011.00,Animal Scientists,,,
IR,5,19-3091.00,Anthropologists and Archeologists,,,
IR,5,19-2011.00,Astronomers,,,
ISC,5,29-1181.00,Audiologists,,,
IR,5,19-1021.00,Biochemists and Biophysicists,,,
ICR,5,19-1029.01,Bioinformatics Scientists,,,
ICR,5,19-1029.04,Biologists,,,
IC,5,15-2041.01,Biostatisticians,,,
IRS,5,29-1212.00,Cardiologists,,,
IS,5,25-1052.00,Chemistry Teachers,Postsecondary,,
IEC,5,19-2041.01,Climate Change Policy Analysts,,,
IS,5,19-3039.03,Clinical Neuropsychologists,,,
ICR,5,15-1221.00,Computer and Information Research Scientists,,,
IRC,5,29-2011.02,Cytotechnologists,,,
IRS,5,29-1021.00,Dentists,General,,
IRS,5,29-1213.00,Dermatologists,,,
ICE,5,19-3011.00,Economists,,,
ISC,5,29-1214.00,Emergency Medicine Physicians,,,
IEC,5,19-3011.01,Environmental Economists,,,
IRC,5,19-2041.02,Environmental Restoration Planners,,,
IS,5,19-1041.00,Epidemiologists,,,
IC,5,13-2099.01,Financial Quantitative Analysts,,,
ISR,5,29-1216.00,General Internal Medicine Physicians,,,
ISC,5,29-9092.00,Genetic Counselors,,,
ICR,5,19-1029.03,Geneticists,,,
IRC,5,19-2042.00,Geoscientists,Except Hydrologists and Geographers,,
ICS,5,15-1211.01,Health Informatics Specialists,,,
IC,5,19-3093.00,Historians,,,
IRC,5,17-2112.01,Human Factors Engineers and Ergonomists,,,
IRC,5,19-2043.00,Hydrologists,,,
IRC,5,19-2041.03,Industrial Ecologists,,,
IES,5,19-3032.00,Industrial-Organizational Psychologists,,,
IC,5,15-2021.00,Mathematicians,,,
IRC,5,19-1042.00,Medical Scientists,Except Epidemiologists,,
IRC,5,17-2199.06,Microsystems Engineers,,,
IRC,5,19-1029.02,Molecular and Cellular Biologists,,,
IRC,5,17-2199.09,Nanosystems Engineers,,,
IEC,5,11-9121.00,Natural Sciences Managers,,,
ISR,5,29-1299.01,Naturopathic Physicians,,,
IS,5,29-1217.00,Neurologists,,,
IS,5,19-3039.02,Neuropsychologists,,,
ISC,5,29-1171.00,Nurse Practitioners,,,
ISR,5,29-1218.00,Obstetricians and Gynecologists,,,
IC,5,15-2031.00,Operations Research Analysts,,,
ISR,5,29-1241.00,Ophthalmologists,Except Pediatric,,
ISR,5,29-1041.00,Optometrists,,,
IRS,5,29-1022.00,Oral and Maxillofacial Surgeons,,,
IRC,5,29-1023.00,Orthodontists,,,
IRS,5,29-1242.00,Orthopedic Surgeons,Except Pediatric,,
IRS,5,29-1299.02,Orthoptists,,,
ISR,5,29-1243.00,Pediatric Surgeons,,,
ISC,5,29-1051.00,Pharmacists,,,
ISR,5,29-1229.04,Physical Medicine and Rehabilitation Physicians,,,
IRC,5,29-1222.00,Physicians,Pathologists,,
IRC,5,19-2012.00,Physicists,,,
IRS,5,29-1081.00,Podiatrists,,,
IA,5,19-3094.00,Political Scientists,,,
IS,5,29-1229.05,Preventive Medicine Physicians,,,
IS,5,29-1223.00,Psychiatrists,,,
ICR,5,29-1224.00,Radiologists,,,
ISA,5,19-3041.00,Sociologists,,,
IR,5,19-1013.00,Soil and Plant Scientists,,,
ISR,5,29-1229.06,Sports Medicine Physicians,,,
IC,5,15-2041.00,Statisticians,,,
IC,5,19-3022.00,Survey Researchers,,,
IEC,5,19-3051.00,Urban and Regional Planners,,,
IRS,5,29-1229.03,Urologists,,,
RAC,1,51-9123.00,Painting,Coating,and Decorating Workers,
RCA,1,51-6051.00,Sewers,Hand,,
ASE,2,27-2011.00,Actors,,,
ACR,2,39-3092.00,"Costume Attendants 
Bright Outlook",,,
AEC,2,27-2091.00,Disc Jockeys,Except Radio,,
ARE,2,41-9012.00,Models,,,
RAC,2,27-1023.00,Floral Designers,,,
SA,2,39-9011.01,Nannies,,,
RA,2,51-6041.00,Shoe and Leather Workers and Repairers,,,
RAC,2,51-9195.03,Stone Cutters and Carvers,Manufacturing,,
RA,2,51-6052.00,Tailors,Dressmakers,and Custom Sewers,
RAC,2,51-6093.00,Upholsterers,,,
SCA,2,39-9011.00,Childcare Workers,,,
RCA,2,51-9194.00,Etchers and Engravers,,,
RCA,2,51-7021.00,Furniture Finishers,,,
RCA,2,47-2142.00,Paperhangers,,,
RCA,2,51-9151.00,Photographic Process Workers and Processing Machine Operators,,,
ARC,3,27-4031.00,Camera Operators,Television,Video,
AS,3,27-2032.00,Choreographers,,,
AR,3,27-1012.00,Craft Artists,,,
ARS,3,27-2031.00,Dancers,,,
ARE,3,27-1022.00,Fashion Designers,,,
AR,3,27-1013.00,Fine Artists,Including Painters,Sculptors,
AR,3,39-5091.00,Makeup Artists,Theatrical and Performance,,
ARE,3,27-1026.00,Merchandise Displayers and Window Trimmers,,,
CA,3,43-9031.00,Desktop Publishers,,,
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,,,
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,,,
RAC,3,49-9063.00,Musical Instrument Repairers and Tuners,,,
RA,3,27-4021.00,Photographers,,,
SA,3,25-2011.00,Preschool Teachers,Except Special Education,,
SA,3,25-3021.00,Self-Enrichment Teachers,,,
RAC,3,27-4014.00,Sound Engineering Technicians,,,
RCA,3,17-3011.00,Architectural and Civil Drafters,,,
RCA,3,51-7031.00,Model Makers,Wood,,
RCA,3,51-4062.00,Patternmakers,Metal and Plastic,,
RCA,3,51-7032.00,Patternmakers,Wood,,
AE,4,27-1011.00,Art Directors,,,
AES,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,,,
ARI,4,27-1021.00,Commercial and Industrial Designers,,,
ACE,4,27-3041.00,Editors,,,
AC,4,27-4032.00,Film and Video Editors,,,
A,4,27-1024.00,Graphic Designers,,,
AR,4,27-1025.00,Interior Designers,,,
AE,4,27-2041.00,Music Directors and Composers,,,
AE,4,27-2042.00,Musicians and Singers,,,
AIE,4,27-3023.00,News Analysts,Reporters,and Journalists,
AI,4,27-3043.05,Poets,Lyricists and Creative Writers,,
AE,4,27-2012.00,Producers and Directors,,,
AR,4,27-1014.00,Special Effects Artists and Animators,,,
AIE,4,15-1255.01,Video Game Designers,,,
AE,4,27-3043.00,Writers and Authors,,,
SA,4,25-2012.00,Kindergarten Teachers,Except Special Education,,
SAI,4,29-1129.02,Music Therapists,,,
EAS,4,27-2012.04,Talent Directors,,,
IAC,4,15-1255.00,Web and Digital Interface Designers,,,
A,5,27-1027.00,Set and Exhibit Designers,,,
RAI,5,17-1011.00,Architects,Except Landscape and Naval,,
SA,5,29-1129.01,Art Therapists,,,
SA,5,25-1121.00,Art,Drama,and Music Teachers,
IA,5,19-3094.00,Political Scientists,,,
SA,5,25-2051.00,Special Education Teachers,Preschool,,
SIA,5,25-1031.00,Architecture Teachers,Postsecondary,,
SIA,5,25-1123.00,English Language and Literature Teachers,Postsecondary,,
ISA,5,19-3041.00,Sociologists,,,
CSR,1,39-3091.00,"Amusement and Recreation Attendants 
Bright Outlook",,,
RCS,1,35-3023.01,Baristas,,,
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,,,
SCA,2,39-9011.00,Childcare Workers,,,
SRC,2,31-1121.00,Home Health Aides,,,
SEC,2,35-9031.00,Hosts and Hostesses,Restaurant,Lounge,
SA,2,39-9011.01,Nannies,,,
SCR,2,31-1122.00,Personal Care Aides,,,
SRC,2,31-2022.00,Physical Therapist Aides,,,
SIC,2,31-1133.00,Psychiatric Aides,,,
SCR,2,33-9094.00,School Bus Monitors,,,
SEC,2,39-7012.00,Travel Guides,,,
SCE,2,39-3031.00,Ushers,Lobby Attendants,and Ticket Takers,
SCE,2,35-3031.00,Waiters and Waitresses,,,
RSC,2,39-2021.00,Animal Caretakers,,,
RS,2,39-2011.00,Animal Trainers,,,
RSC,2,35-3041.00,Food Servers,Nonrestaurant,,
RSC,2,39-4021.00,Funeral Attendants,,,
CSE,2,43-4081.00,Hotel,Motel,and Resort Desk Clerks,
RSC,2,33-9092.00,Lifeguards,Ski Patrol,and Other Recreational Protective Service Workers,
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,,,
CSR,2,53-6061.00,Passenger Attendants,,,
RSC,2,39-5093.00,Shampooers,,,
SIR,3,29-1141.01,Acute Care Nurses,,,
SI,3,25-1194.00,Career/Technical Education Teachers,Postsecondary,,
SEC,3,39-6012.00,Concierges,,,
SRI,3,29-1292.00,Dental Hygienists,,,
SRC,3,29-2051.00,Dietetic Technicians,,,
SRI,3,29-2042.00,Emergency Medical Technicians,,,
SR,3,39-9031.00,Exercise Trainers and Group Fitness Instructors,,,
SIC,3,29-2092.00,Hearing Aid Specialists,,,
SRC,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,,,
SRI,3,31-9011.00,Massage Therapists,,,
SRC,3,31-1131.00,Nursing Assistants,,,
SRC,3,31-2012.00,Occupational Therapy Aides,,,
SCR,3,31-2011.00,Occupational Therapy Assistants,,,
SRI,3,29-2043.00,Paramedics,,,
SIC,3,29-2099.08,Patient Representatives,,,
SRC,3,31-2021.00,Physical Therapist Assistants,,,
SA,3,25-2011.00,Preschool Teachers,Except Special Education,,
SI,3,29-2053.00,Psychiatric Technicians,,,
SCE,3,39-9041.00,Residential Advisors,,,
SRI,3,29-1126.00,Respiratory Therapists,,,
SA,3,25-3021.00,Self-Enrichment Teachers,,,
SCI,3,31-9099.01,Speech-Language Pathology Assistants,,,
SC,3,25-9042.00,Teaching Assistants,Preschool,Elementary,
SC,3,25-9043.00,Teaching Assistants,Special Education,,
SE,3,39-7011.00,Tour Guides and Escorts,,,
S,3,25-3041.00,Tutors,,,
S,4,25-3011.00,Adult Basic Education,Adult Secondary Education,and English as a Second Language Instructors,
S,4,25-2023.00,Career/Technical Education Teachers,Middle School,,
S,4,25-2032.00,Career/Technical Education Teachers,Secondary School,,
S,4,21-1021.00,Child,Family,and School Social Workers,
SER,4,27-2022.00,Coaches and Scouts,,,
S,4,21-1094.00,Community Health Workers,,,
SIR,4,29-1141.03,Critical Care Nurses,,,
SE,4,21-2021.00,Directors,Religious Activities and Education,,
SEC,4,11-9031.00,Education and Childcare Administrators,Preschool and Daycare,,
SA,4,25-2021.00,Elementary School Teachers,Except Special Education,,
SE,4,11-9179.01,Fitness and Wellness Coordinators,,,
SIC,4,21-1091.00,Health Education Specialists,,,
SA,4,25-2012.00,Kindergarten Teachers,Except Special Education,,
SA,4,25-2022.00,Middle School Teachers,Except Special and Career/Technical Education,,
SAI,4,29-1129.02,Music Therapists,,,
SIR,4,19-1031.03,Park Naturalists,,,
SCE,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,,,
SER,4,39-9032.00,Recreation Workers,,,
SI,4,29-1125.00,Recreational Therapists,,,
SIC,4,29-1141.00,Registered Nurses,,,
S,4,21-1015.00,Rehabilitation Counselors,,,
S,4,25-2031.00,Secondary School Teachers,Except Special and Career/Technical Education,,
SCE,4,21-1093.00,Social and Human Service Assistants,,,
SI,4,25-2056.00,Special Education Teachers,Elementary School,,
S,4,25-2055.00,Special Education Teachers,Kindergarten,,
SIA,4,25-2057.00,Special Education Teachers,Middle School,,
SI,4,25-2058.00,Special Education Teachers,Secondary School,,
SC,4,25-3031.00,Substitute Teachers,Short-Term,,
SCI,4,13-1151.00,Training and Development Specialists,,,
SIR,5,29-1291.00,Acupuncturists,,,
SR,5,25-2059.01,Adapted Physical Education Specialists,,,
SI,5,25-1041.00,Agricultural Sciences Teachers,Postsecondary,,
SCI,5,29-1071.01,Anesthesiologist Assistants,,,
SI,5,25-1061.00,Anthropology and Archeology Teachers,Postsecondary,,
SIA,5,25-1031.00,Architecture Teachers,Postsecondary,,
SI,5,25-1062.00,Area,Ethnic,and Cultural Studies Teachers,
SA,5,29-1129.01,Art Therapists,,,
SA,5,25-1121.00,Art,Drama,and Music Teachers,
SRI,5,29-9091.00,Athletic Trainers,,,
SI,5,25-1051.00,Atmospheric,Earth,Marine,
SI,5,25-1042.00,Biological Science Teachers,Postsecondary,,
SI,5,25-1011.00,Business Teachers,Postsecondary,,
SRI,5,29-1011.00,Chiropractors,,,
SE,5,21-2011.00,Clergy,,,
SI,5,19-3033.00,Clinical and Counseling Psychologists,,,
SIC,5,29-1141.04,Clinical Nurse Specialists,,,
SI,5,25-1122.00,Communications Teachers,Postsecondary,,
SIC,5,25-1021.00,Computer Science Teachers,Postsecondary,,
SI,5,25-1111.00,Criminal Justice and Law Enforcement Teachers,Postsecondary,,
SI,5,29-1031.00,Dietitians and Nutritionists,,,
SI,5,25-1063.00,Economics Teachers,Postsecondary,,
SEC,5,11-9032.00,Education Administrators,Kindergarten through Secondary,,
SEC,5,11-9033.00,Education Administrators,Postsecondary,,
SI,5,25-1081.00,Education Teachers,Postsecondary,,
SE,5,21-1012.00,Educational,Guidance,and Career Counselors and Advisors,
SIR,5,25-1032.00,Engineering Teachers,Postsecondary,,
SIA,5,25-1123.00,English Language and Literature Teachers,Postsecondary,,
SI,5,25-1053.00,Environmental Science Teachers,Postsecondary,,
SI,5,25-1192.00,Family and Consumer Sciences Teachers,Postsecondary,,
SI,5,29-1215.00,Family Medicine Physicians,,,
SIR,5,25-9021.00,Farm and Home Management Educators,,,
SI,5,25-1124.00,Foreign Language and Literature Teachers,Postsecondary,,
SI,5,25-1043.00,Forestry and Conservation Science Teachers,Postsecondary,,
SI,5,25-1064.00,Geography Teachers,Postsecondary,,
SI,5,25-1071.00,Health Specialties Teachers,Postsecondary,,
SI,5,21-1022.00,Healthcare Social Workers,,,
SI,5,25-1125.00,History Teachers,Postsecondary,,
SIC,5,29-1229.02,Hospitalists,,,
SEC,5,25-9031.00,Instructional Coordinators,,,
SI,5,25-1112.00,Law Teachers,Postsecondary,,
SI,5,25-1082.00,Library Science Teachers,Postsecondary,,
SRI,5,29-1122.01,Low Vision Therapists,Orientation and Mobility Specialists,and Vision Rehabilitation Therapists,
SI,5,21-1013.00,Marriage and Family Therapists,,,
SIC,5,25-1022.00,Mathematical Science Teachers,Postsecondary,,
SI,5,21-1023.00,Mental Health and Substance Abuse Social Workers,,,
SI,5,21-1014.00,Mental Health Counselors,,,
SIR,5,29-9099.01,Midwives,,,
SRI,5,29-1151.00,Nurse Anesthetists,,,
SI,5,29-1161.00,Nurse Midwives,,,
SI,5,25-1072.00,Nursing Instructors and Teachers,Postsecondary,,
SI,5,29-1122.00,Occupational Therapists,,,
SI,5,29-1221.00,Pediatricians,General,,
SI,5,25-1126.00,Philosophy and Religion Teachers,Postsecondary,,
SIR,5,29-1123.00,Physical Therapists,,,
SIC,5,29-1071.00,Physician Assistants,,,
SI,5,25-1054.00,Physics Teachers,Postsecondary,,
SI,5,25-1065.00,Political Science Teachers,Postsecondary,,
SI,5,25-1066.00,Psychology Teachers,Postsecondary,,
SI,5,25-1193.00,Recreation and Fitness Studies Teachers,Postsecondary,,
SIC,5,19-3034.00,School Psychologists,,,
SI,5,25-1113.00,Social Work Teachers,Postsecondary,,
SI,5,25-1067.00,Sociology Teachers,Postsecondary,,
SA,5,25-2051.00,Special Education Teachers,Preschool,,
SIC,5,29-1127.00,Speech-Language Pathologists,,,
SIC,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,,,
SC,5,25-9044.00,Teaching Assistants,Postsecondary,,
ECR,1,41-9091.00,Door-to-Door Sales Workers,News and Street Vendors,and Related Workers,
RCE,1,35-2011.00,Cooks,Fast Food,,
RCE,1,35-3023.00,"Fast Food and Counter Workers 
Bright Outlook",,,
ECR,2,53-1041.00,Aircraft Cargo Handling Supervisors,,,
EC,2,41-9011.00,Demonstrators and Product Promoters,,,
ERC,2,13-1074.00,Farm Labor Contractors,,,
ECS,2,39-1014.00,First-Line Supervisors of Entertainment and Recreation Workers,Except Gambling Services,,
ECR,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,,,
ECR,2,39-1013.00,First-Line Supervisors of Gambling Services Workers,,,
ECR,2,53-1042.00,First-Line Supervisors of Helpers,Laborers,and Material Movers,
ECR,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,,,
ECS,2,33-1012.00,First-Line Supervisors of Police and Detectives,,,
ECS,2,41-1011.00,First-Line Supervisors of Retail Sales Workers,,,
ECR,2,33-1091.00,First-Line Supervisors of Security Workers,,,
ECR,2,11-9051.00,Food Service Managers,,,
EC,2,11-9071.00,Gambling Managers,,,
ECS,2,11-9131.00,Postmasters and Mail Superintendents,,,
ECR,2,53-1042.01,Recycling Coordinators,,,
EC,2,41-2031.00,Retail Salespersons,,,
ECS,2,41-3091.00,Sales Representatives of Services,Except Advertising,Insurance,
ECS,2,41-9041.00,Telemarketers,,,
ECR,2,27-2023.00,Umpires,Referees,and Other Sports Officials,
SEC,2,35-9031.00,Hosts and Hostesses,Restaurant,Lounge,
SEC,2,39-7012.00,Travel Guides,,,
ECS,3,11-3012.00,Administrative Services Managers,,,
ERC,3,35-1011.00,Chefs and Head Cooks,,,
ECR,3,11-3013.00,Facilities Managers,,,
ECR,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,,,
ECS,3,33-1011.00,First-Line Supervisors of Correctional Officers,,,
ERC,3,45-1011.00,First-Line Supervisors of Farming,Fishing,and Forestry Workers,
ERC,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,,,
ECR,3,37-1012.00,First-Line Supervisors of Landscaping,Lawn Service,and Groundskeeping Workers,
ERC,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,,,
ECR,3,49-1011.00,First-Line Supervisors of Mechanics,Installers,and Repairers,
ECS,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,,,
ECS,3,53-1044.00,First-Line Supervisors of Passenger Attendants,,,
ECS,3,39-1022.00,First-Line Supervisors of Personal Service Workers,,,
ECR,3,51-1011.00,First-Line Supervisors of Production and Operating Workers,,,
ECS,3,11-9171.00,Funeral Home Managers,,,
ECS,3,41-9022.00,Real Estate Sales Agents,,,
ECR,3,41-4011.07,Solar Sales Representatives and Assessors,,,
ECS,3,11-9179.02,Spa Managers,,,
ECS,3,41-3041.00,Travel Agents,,,
ECR,3,13-1022.00,Wholesale and Retail Buyers,Except Farm Products,,
ECR,3,11-9199.09,Wind Energy Operations Managers,,,
CE,3,13-1041.08,Customs Brokers,,,
CE,3,13-1041.04,Government Property Inspectors and Investigators,,,
CEI,3,33-9021.00,Private Detectives and Investigators,,,
SE,3,39-7011.00,Tour Guides and Escorts,,,
ECA,4,11-2011.00,Advertising and Promotions Managers,,,
ECA,4,41-3011.00,Advertising Sales Agents,,,
ESC,4,13-1011.00,Agents and Business Managers of Artists,Performers,and Athletes,
ECR,4,11-3051.03,Biofuels Production Managers,,,
ECI,4,13-1199.04,Business Continuity Planners,,,
ECR,4,13-1021.00,Buyers and Purchasing Agents,Farm Products,,
ECS,4,11-3111.00,Compensation and Benefits Managers,,,
ECR,4,11-9021.00,Construction Managers,,,
ECI,4,11-9161.00,Emergency Management Directors,,,
ECR,4,11-9072.00,Entertainment and Recreation Managers,Except Gambling,,
ECS,4,13-1041.03,Equal Opportunity Representatives and Officers,,,
ERC,4,11-9013.00,Farmers,Ranchers,and Other Agricultural Managers,
EC,4,11-3031.00,Financial Managers,,,
ECS,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,,,
ESC,4,13-1131.00,Fundraisers,,,
ECS,4,11-2033.00,Fundraising Managers,,,
EC,4,11-1021.00,General and Operations Managers,,,
ECS,4,11-3121.00,Human Resources Managers,,,
ECS,4,13-1071.00,Human Resources Specialists,,,
ECR,4,11-3051.00,Industrial Production Managers,,,
ECI,4,15-1299.09,Information Technology Project Managers,,,
ECS,4,41-3021.00,Insurance Sales Agents,,,
ECS,4,13-1075.00,Labor Relations Specialists,,,
ESC,4,11-1031.00,Legislators,,,
ECS,4,11-9081.00,Lodging Managers,,,
ECI,4,13-1161.00,Market Research Analysts and Marketing Specialists,,,
EC,4,11-2021.00,Marketing Managers,,,
ECA,4,27-2012.03,Media Programming Directors,,,
ECR,4,27-2012.05,Media Technical Directors/Managers,,,
ECS,4,11-9111.00,Medical and Health Services Managers,,,
ECS,4,13-1121.00,Meeting,Convention,and Event Planners,
ECS,4,13-2052.00,Personal Financial Advisors,,,
EC,4,13-1082.00,Project Management Specialists,,,
EC,4,11-9141.00,Property,Real Estate,and Community Association Managers,
ECS,4,11-2032.00,Public Relations Managers,,,
EAS,4,27-3031.00,Public Relations Specialists,,,
EC,4,11-3061.00,Purchasing Managers,,,
EC,4,41-9021.00,Real Estate Brokers,,,
EC,4,11-9199.01,Regulatory Affairs Managers,,,
EC,4,41-9031.00,Sales Engineers,,,
EC,4,11-2022.00,Sales Managers,,,
EC,4,41-4012.00,Sales Representatives,Wholesale and Manufacturing,Except Technical and Scientific Products,
EC,4,41-4011.00,Sales Representatives,Wholesale and Manufacturing,Technical and Scientific Products,
ECI,4,13-1161.01,Search Marketing Strategists,,,
EC,4,41-3031.00,Securities,Commodities,and Financial Services Sales Agents,
EC,4,11-3013.01,Security Managers,,,
ESC,4,11-9151.00,Social and Community Service Managers,,,
EC,4,11-3071.04,Supply Chain Managers,,,
EAS,4,27-2012.04,Talent Directors,,,
ES,4,11-3131.00,Training and Development Managers,,,
EC,4,11-3071.00,Transportation,Storage,and Distribution Managers,
EC,4,11-3031.01,Treasurers and Controllers,,,
EC,4,11-9199.10,Wind Energy Development Managers,,,
CE,4,13-1041.00,Compliance Officers,,,
ECS,5,23-1022.00,Arbitrators,Mediators,and Conciliators,
ECI,5,11-9041.00,Architectural and Engineering Managers,,,
EC,5,11-1011.00,Chief Executives,,,
EIC,5,11-1011.03,Chief Sustainability Officers,,,
ECI,5,11-3031.03,Investment Fund Managers,,,
ECS,5,23-1023.00,Judges,Magistrate Judges,and Magistrates,
ECI,5,23-1011.00,Lawyers,,,
CEI,5,23-1021.00,Administrative Law Judges,Adjudicators,and Hearing Officers,
SE,5,21-2011.00,Clergy,,,
IEC,5,19-2041.01,Climate Change Policy Analysts,,,
CE,5,25-4012.00,Curators,,,
SEC,5,11-9032.00,Education Administrators,Kindergarten through Secondary,,
SEC,5,11-9033.00,Education Administrators,Postsecondary,,
SE,5,21-1012.00,Educational,Guidance,and Career Counselors and Advisors,
IEC,5,19-3011.01,Environmental Economists,,,
IES,5,19-3032.00,Industrial-Organizational Psychologists,,,
SEC,5,25-9031.00,Instructional Coordinators,,,
CEI,5,23-1012.00,Judicial Law Clerks,,,
IEC,5,11-9121.00,Natural Sciences Managers,,,
IEC,5,19-3051.00,Urban and Regional Planners,,,
CSR,1,39-3091.00,"Amusement and Recreation Attendants 
Bright Outlook",,,
RC,1,45-2091.00,Agricultural Equipment Operators,,,
RCS,1,35-3023.01,Baristas,,,
RC,1,53-7011.00,Conveyor Operators and Tenders,,,
RCE,1,35-2011.00,Cooks,Fast Food,,
RC,1,47-5011.00,Derrick Operators,Oil and Gas,,
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,,,
RC,1,35-9021.00,Dishwashers,,,
RC,1,45-4021.00,Fallers,,,
RCE,1,35-3023.00,Fast Food and Counter Workers,,,
RC,1,45-3031.00,Fishing and Hunting Workers,,,
RC,1,45-2041.00,Graders and Sorters,Agricultural Products,,
RC,1,37-3011.00,Landscaping and Groundskeeping Workers,,,
RC,1,51-6011.00,Laundry and Dry-Cleaning Workers,,,
RC,1,37-2012.00,Maids and Housekeeping Cleaners,,,
RC,1,51-3022.00,Meat,Poultry,and Fish Cutters and Trimmers,
RC,1,47-2161.00,Plasterers and Stucco Masons,,,
RC,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,,,
RC,1,51-6031.00,Sewing Machine Operators,,,
CES,2,43-3011.00,Bill and Account Collectors,,,
CE,2,43-5011.00,Cargo and Freight Agents,,,
CE,2,41-2011.00,Cashiers,,,
CE,2,43-4021.00,Correspondence Clerks,,,
CES,2,41-2021.00,Counter and Rental Clerks,,,
CRS,2,43-5021.00,Couriers and Messengers,,,
CES,2,43-4031.00,Court,Municipal,and License Clerks,
CES,2,43-4041.00,Credit Authorizers,Checkers,and Clerks,
CES,2,43-4051.00,Customer Service Representatives,,,
CR,2,43-9021.00,Data Entry Keyers,,,
CR,2,43-5032.00,Dispatchers,Except Police,Fire,
C,2,43-4071.00,File Clerks,,,
CRS,2,53-2031.00,Flight Attendants,,,
CER,2,43-5011.01,Freight Forwarders,,,
CE,2,39-3012.00,Gambling and Sports Book Writers and Runners,,,
CE,2,43-3041.00,Gambling Cage Workers,,,
CE,2,41-2012.00,Gambling Change Persons and Booth Cashiers,,,
CER,2,39-3011.00,Gambling Dealers,,,
CER,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,,,
CSE,2,43-4081.00,Hotel,Motel,and Resort Desk Clerks,
CE,2,43-9041.00,Insurance Claims and Policy Processing Clerks,,,
CS,2,43-4121.00,Library Assistants,Clerical,,
CRS,2,39-3093.00,Locker Room,Coatroom,and Dressing Room Attendants,
CR,2,45-4023.00,Log Graders and Scalers,,,
CR,2,43-9051.00,Mail Clerks and Mail Machine Operators,Except Postal Service,,
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,,,
CR,2,43-5041.00,Meter Readers,Utilities,,
C,2,43-9061.00,Office Clerks,General,,
CR,2,43-9071.00,Office Machine Operators,Except Computer,,
CE,2,43-4151.00,Order Clerks,,,
CR,2,53-7064.00,Packers and Packagers,Hand,,
CRE,2,41-2022.00,Parts Salespersons,,,
CSR,2,53-6061.00,Passenger Attendants,,,
CER,2,31-9095.00,Pharmacy Aides,,,
CR,2,43-5051.00,Postal Service Clerks,,,
CR,2,43-5052.00,Postal Service Mail Carriers,,,
CR,2,43-5053.00,Postal Service Mail Sorters,Processors,and Processing Machine Operators,
CR,2,51-5112.00,Printing Press Operators,,,
CE,2,43-3061.00,Procurement Clerks,,,
CE,2,43-5061.00,Production,Planning,and Expediting Clerks,
CRS,2,43-5031.00,Public Safety Telecommunicators,,,
CES,2,43-4171.00,Receptionists and Information Clerks,,,
CSE,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,,,
CER,2,33-9099.02,Retail Loss Prevention Specialists,,,
CES,2,43-6014.00,Secretaries and Administrative Assistants,Except Legal,Medical,
CRE,2,43-5071.00,Shipping,Receiving,and Inventory Clerks,
CRE,2,53-7065.00,Stockers and Order Fillers,,,
CRE,2,43-2011.00,Switchboard Operators,Including Answering Service,,
