O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Job Family
19-2041.00,"Environmental Scientists and Specialists, Including Health",1.79,4.44,2.58,2.0,7.0,4.7,1.0,2.62,6.0,"Life, Physical, and Social Science"
19-2041.01,Climate Change Policy Analysts,3.11,4.06,4.69,2.0,6.73,1.37,5.0,3.17,6.0,"Life, Physical, and Social Science"
19-2041.02,Environmental Restoration Planners,2.24,4.13,3.63,2.0,6.25,5.31,1.0,2.12,6.0,"Life, Physical, and Social Science"
19-2041.03,Industrial Ecologists,2.14,3.98,3.04,2.0,7.0,4.62,1.0,1.95,6.0,"Life, Physical, and Social Science"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.7,4.16,1.67,2.0,7.0,5.66,1.0,2.23,6.0,"Life, Physical, and Social Science"
19-2043.00,Hydrologists,1.86,4.35,2.17,2.0,6.53,5.71,1.0,2.16,6.0,"Life, Physical, and Social Science"
19-2099.01,Remote Sensing Scientists and Technologists,1.87,4.84,1.49,2.0,6.04,4.84,1.0,1.31,6.0,"Life, Physical, and Social Science"
19-3011.00,Economists,2.49,4.34,3.8,2.0,7.0,1.54,6.0,2.22,5.0,"Life, Physical, and Social Science"
19-3011.01,Environmental Economists,2.53,4.08,4.11,2.0,7.0,2.74,5.0,2.28,6.0,"Life, Physical, and Social Science"
19-3022.00,Survey Researchers,2.11,5.46,3.05,2.0,6.1,1.7,6.0,2.31,0.0,"Life, Physical, and Social Science"
19-3032.00,Industrial-Organizational Psychologists,3.26,4.04,4.65,2.0,5.32,1.11,5.0,4.18,4.0,"Life, Physical, and Social Science"
19-3033.00,Clinical and Counseling Psychologists,3.02,3.55,2.67,4.0,5.5,1.07,2.0,6.57,0.0,"Life, Physical, and Social Science"
19-3034.00,School Psychologists,3.31,4.01,2.82,4.0,5.0,1.0,2.0,6.77,6.0,"Life, Physical, and Social Science"
19-3039.02,Neuropsychologists,3.26,3.24,1.8,2.0,7.0,2.67,4.0,5.28,0.0,"Life, Physical, and Social Science"
19-3039.03,Clinical Neuropsychologists,2.4,3.45,2.11,2.0,7.0,2.86,4.0,5.72,0.0,"Life, Physical, and Social Science"
19-3041.00,Sociologists,3.96,3.57,3.08,2.0,6.43,1.61,4.0,4.42,3.0,"Life, Physical, and Social Science"
19-3051.00,Urban and Regional Planners,2.96,3.95,4.53,2.0,5.38,3.16,5.0,3.0,6.0,"Life, Physical, and Social Science"
19-3091.00,Anthropologists and Archeologists,3.89,3.54,1.56,2.0,6.74,4.55,1.0,3.32,0.0,"Life, Physical, and Social Science"
19-3092.00,Geographers,3.7,3.71,2.15,2.0,6.73,5.19,1.0,2.69,0.0,"Life, Physical, and Social Science"
19-3093.00,Historians,3.61,4.97,2.4,2.0,5.19,2.42,6.0,3.21,0.0,"Life, Physical, and Social Science"
19-3094.00,Political Scientists,3.78,3.6,3.7,2.0,6.62,1.0,3.0,3.47,0.0,"Life, Physical, and Social Science"
19-3099.01,Transportation Planners,2.18,4.69,3.21,2.0,5.5,3.2,6.0,2.05,0.0,"Life, Physical, and Social Science"
19-4012.00,Agricultural Technicians,1.0,4.64,1.8,1.0,4.96,6.28,2.0,1.56,6.0,"Life, Physical, and Social Science"
19-4012.01,Precision Agriculture Technicians,1.17,4.82,2.15,1.0,5.5,6.55,2.0,1.44,6.0,"Life, Physical, and Social Science"
19-4013.00,Food Science Technicians,1.37,5.07,1.8,1.0,4.55,5.56,6.0,1.67,2.0,"Life, Physical, and Social Science"
19-4021.00,Biological Technicians,1.24,5.37,1.18,1.0,5.57,5.6,2.0,1.98,6.0,"Life, Physical, and Social Science"
19-4031.00,Chemical Technicians,1.57,5.07,1.02,2.0,5.88,5.44,1.0,1.72,6.0,"Life, Physical, and Social Science"
19-4042.00,"Environmental Science and Protection Technicians, Including Health",1.13,4.91,1.47,2.0,5.57,5.53,1.0,2.07,6.0,"Life, Physical, and Social Science"
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",1.28,5.34,1.11,1.0,5.18,5.59,6.0,1.47,2.0,"Life, Physical, and Social Science"
19-4044.00,Hydrologic Technicians,1.0,5.33,1.41,1.0,4.96,5.55,6.0,1.53,2.0,"Life, Physical, and Social Science"
19-4051.00,Nuclear Technicians,1.0,5.07,2.26,1.0,4.57,5.75,6.0,1.83,2.0,"Life, Physical, and Social Science"
19-4051.02,Nuclear Monitoring Technicians,1.0,5.52,1.67,1.0,4.32,6.12,6.0,1.85,2.0,"Life, Physical, and Social Science"
19-4061.00,Social Science Research Assistants,2.05,5.78,2.35,2.0,6.0,2.48,6.0,2.76,0.0,"Life, Physical, and Social Science"
19-4071.00,Forest and Conservation Technicians,1.0,4.7,2.46,1.0,4.39,6.53,6.0,2.82,2.0,"Life, Physical, and Social Science"
19-4092.00,Forensic Science Technicians,1.8,5.04,1.71,2.0,6.11,5.03,6.0,1.69,1.0,"Life, Physical, and Social Science"
19-4099.01,Quality Control Analysts,1.12,5.83,2.42,6.0,4.96,4.06,2.0,1.19,1.0,"Life, Physical, and Social Science"
19-4099.03,Remote Sensing Technicians,2.03,5.16,1.67,1.0,4.67,5.16,6.0,1.47,2.0,"Life, Physical, and Social Science"
19-5011.00,Occupational Health and Safety Specialists,1.2,4.81,3.11,2.0,4.99,4.62,6.0,3.37,1.0,"Life, Physical, and Social Science"
19-5012.00,Occupational Health and Safety Technicians,1.0,5.29,2.74,1.0,4.92,5.37,6.0,3.01,2.0,"Life, Physical, and Social Science"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.37,3.65,2.73,4.0,3.8,1.62,2.0,6.65,6.0,Community and Social Service
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",3.42,3.38,4.21,4.0,3.31,1.0,5.0,7.0,0.0,Community and Social Service
21-1013.00,Marriage and Family Therapists,3.58,2.83,1.86,4.0,5.25,1.49,2.0,6.32,0.0,Community and Social Service
21-1014.00,Mental Health Counselors,3.06,3.45,2.91,4.0,4.44,1.32,2.0,6.76,0.0,Community and Social Service
21-1015.00,Rehabilitation Counselors,2.99,3.26,3.56,4.0,3.26,1.23,0.0,6.81,0.0,Community and Social Service
21-1021.00,"Child, Family, and School Social Workers",2.9,3.57,2.93,4.0,3.32,1.7,0.0,6.85,0.0,Community and Social Service
21-1022.00,Healthcare Social Workers,2.33,3.06,2.53,4.0,4.24,1.97,2.0,6.92,0.0,Community and Social Service
21-1023.00,Mental Health and Substance Abuse Social Workers,2.78,3.05,2.42,4.0,4.08,1.72,2.0,6.96,0.0,Community and Social Service
21-1091.00,Health Education Specialists,2.53,3.98,3.2,4.0,5.3,1.64,2.0,6.16,6.0,Community and Social Service
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.2,4.11,3.9,4.0,3.47,2.24,6.0,5.63,5.0,Community and Social Service
21-1093.00,Social and Human Service Assistants,1.97,4.55,3.59,4.0,2.8,1.26,6.0,6.1,5.0,Community and Social Service
21-1094.00,Community Health Workers,2.24,3.36,3.5,4.0,3.49,1.94,0.0,6.58,0.0,Community and Social Service
21-2011.00,Clergy,3.48,2.83,4.18,4.0,2.14,2.11,5.0,5.88,0.0,Community and Social Service
21-2021.00,"Directors, Religious Activities and Education",3.43,3.22,6.05,4.0,2.84,1.0,5.0,6.98,0.0,Community and Social Service
23-1011.00,Lawyers,2.32,4.54,5.54,5.0,4.52,1.17,6.0,3.45,2.0,Legal
23-1012.00,Judicial Law Clerks,2.27,5.03,4.39,6.0,4.3,1.63,5.0,3.15,2.0,Legal
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.57,5.39,5.24,6.0,4.01,1.04,5.0,3.04,2.0,Legal
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.31,4.32,4.97,5.0,3.87,1.0,6.0,4.24,4.0,Legal
23-1023.00,"Judges, Magistrate Judges, and Magistrates",2.21,4.11,5.25,5.0,3.75,2.37,6.0,4.0,4.0,Legal
23-2011.00,Paralegals and Legal Assistants,2.04,5.49,4.21,6.0,4.56,1.71,2.0,3.28,5.0,Legal
23-2093.00,"Title Examiners, Abstractors, and Searchers",1.16,6.69,3.38,6.0,2.67,2.41,5.0,2.32,0.0,Legal
25-1011.00,"Business Teachers, Postsecondary",3.2,3.77,3.81,4.0,4.84,1.99,2.0,6.43,0.0,Educational Instruction and Library
25-1021.00,"Computer Science Teachers, Postsecondary",3.21,4.12,2.25,4.0,5.66,3.15,2.0,5.8,6.0,Educational Instruction and Library
25-1022.00,"Mathematical Science Teachers, Postsecondary",3.07,4.44,1.96,4.0,5.8,2.84,2.0,6.17,6.0,Educational Instruction and Library
25-1031.00,"Architecture Teachers, Postsecondary",4.43,3.33,2.51,4.0,5.13,3.38,2.0,6.71,3.0,Educational Instruction and Library
25-1032.00,"Engineering Teachers, Postsecondary",3.16,3.44,2.0,4.0,5.39,4.84,2.0,5.76,1.0,Educational Instruction and Library
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.87,3.41,2.63,4.0,5.37,4.07,2.0,6.2,0.0,Educational Instruction and Library
25-1042.00,"Biological Science Teachers, Postsecondary",3.31,3.61,2.03,4.0,5.91,3.99,2.0,6.22,0.0,Educational Instruction and Library
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",3.04,3.51,2.37,4.0,5.79,4.02,2.0,6.54,0.0,Educational Instruction and Library
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.13,3.84,2.32,4.0,5.55,3.94,2.0,6.59,0.0,Educational Instruction and Library
25-1052.00,"Chemistry Teachers, Postsecondary",2.96,3.77,2.08,2.0,5.82,4.05,4.0,5.72,0.0,Educational Instruction and Library
25-1053.00,"Environmental Science Teachers, Postsecondary",3.4,3.58,2.36,4.0,6.25,3.76,2.0,6.28,0.0,Educational Instruction and Library
25-1054.00,"Physics Teachers, Postsecondary",3.21,3.92,2.36,4.0,5.87,3.75,2.0,6.01,0.0,Educational Instruction and Library
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",3.52,3.47,2.39,4.0,6.02,3.61,2.0,6.55,0.0,Educational Instruction and Library
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.84,2.98,2.99,4.0,5.26,2.98,2.0,7.0,0.0,Educational Instruction and Library
25-1063.00,"Economics Teachers, Postsecondary",3.06,3.88,3.39,4.0,5.53,2.71,2.0,6.22,0.0,Educational Instruction and Library
25-1064.00,"Geography Teachers, Postsecondary",3.66,3.69,2.53,4.0,5.76,3.43,2.0,6.66,0.0,Educational Instruction and Library
25-1065.00,"Political Science Teachers, Postsecondary",3.61,3.16,3.21,4.0,5.46,2.11,2.0,6.75,0.0,Educational Instruction and Library
25-1066.00,"Psychology Teachers, Postsecondary",3.85,3.26,2.37,4.0,5.56,2.13,2.0,7.0,0.0,Educational Instruction and Library
25-1067.00,"Sociology Teachers, Postsecondary",3.57,3.41,2.56,4.0,5.57,2.53,2.0,6.66,0.0,Educational Instruction and Library
25-1071.00,"Health Specialties Teachers, Postsecondary",2.93,3.71,1.87,4.0,5.49,3.48,2.0,6.97,0.0,Educational Instruction and Library
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.29,3.35,2.15,4.0,4.84,3.01,2.0,7.0,0.0,Educational Instruction and Library
25-1081.00,"Education Teachers, Postsecondary",3.52,3.54,2.63,4.0,4.91,2.69,2.0,7.0,0.0,Educational Instruction and Library
25-1082.00,"Library Science Teachers, Postsecondary",3.41,3.94,2.29,4.0,5.47,2.76,2.0,6.35,0.0,Educational Instruction and Library
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.24,3.66,3.44,4.0,4.89,2.6,2.0,6.83,0.0,Educational Instruction and Library
25-1112.00,"Law Teachers, Postsecondary",3.43,3.76,3.52,4.0,5.31,2.32,2.0,6.49,0.0,Educational Instruction and Library
25-1113.00,"Social Work Teachers, Postsecondary",3.65,3.42,2.88,4.0,4.94,2.32,2.0,7.0,0.0,Educational Instruction and Library
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5.86,2.43,2.12,4.0,4.1,3.2,3.0,6.93,0.0,Educational Instruction and Library
25-1122.00,"Communications Teachers, Postsecondary",3.9,3.36,3.19,4.0,4.59,2.03,2.0,7.0,0.0,Educational Instruction and Library
25-1123.00,"English Language and Literature Teachers, Postsecondary",4.19,3.55,2.41,4.0,4.76,2.35,2.0,7.0,3.0,Educational Instruction and Library
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",3.99,3.7,2.57,4.0,4.42,2.12,2.0,7.0,0.0,Educational Instruction and Library
25-1125.00,"History Teachers, Postsecondary",3.89,3.57,2.5,4.0,5.41,2.87,2.0,6.89,0.0,Educational Instruction and Library
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",3.77,3.29,2.82,4.0,5.14,2.44,2.0,7.0,0.0,Educational Instruction and Library
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",3.44,3.53,2.71,4.0,4.91,3.02,2.0,7.0,0.0,Educational Instruction and Library
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",3.43,3.43,2.51,4.0,4.78,3.17,2.0,7.0,0.0,Educational Instruction and Library
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3.14,3.29,2.1,4.0,4.15,3.75,2.0,6.61,0.0,Educational Instruction and Library
25-2011.00,"Preschool Teachers, Except Special Education",4.06,3.59,2.63,4.0,2.77,2.71,3.0,7.0,0.0,Educational Instruction and Library
25-2012.00,"Kindergarten Teachers, Except Special Education",4.0,3.73,2.46,4.0,3.15,2.59,3.0,7.0,0.0,Educational Instruction and Library
25-2021.00,"Elementary School Teachers, Except Special Education",3.99,3.53,2.57,4.0,3.38,2.55,3.0,7.0,0.0,Educational Instruction and Library
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",3.98,3.6,2.55,4.0,3.31,2.64,3.0,7.0,0.0,Educational Instruction and Library
25-2023.00,"Career/Technical Education Teachers, Middle School",3.64,3.57,2.2,4.0,3.41,2.77,0.0,7.0,0.0,Educational Instruction and Library
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",3.71,3.63,2.75,4.0,3.23,2.85,0.0,7.0,0.0,Educational Instruction and Library
25-2032.00,"Career/Technical Education Teachers, Secondary School",3.62,3.48,2.71,4.0,3.34,2.83,0.0,7.0,0.0,Educational Instruction and Library
25-2051.00,"Special Education Teachers, Preschool",3.85,3.28,1.72,4.0,3.66,2.42,3.0,7.0,0.0,Educational Instruction and Library
25-2055.00,"Special Education Teachers, Kindergarten",3.64,3.69,1.75,4.0,3.8,2.55,0.0,7.0,0.0,Educational Instruction and Library
25-2056.00,"Special Education Teachers, Elementary School",3.62,3.46,1.79,4.0,3.95,2.34,2.0,7.0,0.0,Educational Instruction and Library
25-2057.00,"Special Education Teachers, Middle School",3.88,3.37,1.8,4.0,3.89,2.43,2.0,7.0,3.0,Educational Instruction and Library
25-2058.00,"Special Education Teachers, Secondary School",3.75,3.24,1.95,4.0,3.86,2.61,2.0,7.0,0.0,Educational Instruction and Library
25-2059.01,Adapted Physical Education Specialists,2.63,3.59,1.79,4.0,3.62,4.36,1.0,7.0,0.0,Educational Instruction and Library
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.73,3.47,2.93,4.0,3.12,2.44,0.0,7.0,0.0,Educational Instruction and Library
25-3021.00,Self-Enrichment Teachers,4.14,2.99,3.18,4.0,2.95,2.61,3.0,7.0,0.0,Educational Instruction and Library
25-3031.00,"Substitute Teachers, Short-Term",3.04,3.72,2.45,4.0,2.61,2.61,6.0,6.77,0.0,Educational Instruction and Library
25-3041.00,Tutors,3.24,3.31,1.64,4.0,3.27,2.26,0.0,6.5,0.0,Educational Instruction and Library
25-4011.00,Archivists,2.95,6.02,1.92,6.0,4.58,2.78,2.0,3.1,0.0,Educational Instruction and Library
25-4012.00,Curators,3.43,4.8,3.85,6.0,3.43,2.68,5.0,3.68,0.0,Educational Instruction and Library
25-4013.00,Museum Technicians and Conservators,3.14,4.58,1.51,1.0,3.21,5.67,6.0,2.64,0.0,Educational Instruction and Library
25-4022.00,Librarians and Media Collections Specialists,2.65,5.83,2.76,6.0,3.62,2.33,4.0,4.04,2.0,Educational Instruction and Library
25-4031.00,Library Technicians,1.6,6.51,1.87,6.0,2.69,3.07,4.0,4.07,0.0,Educational Instruction and Library
25-9021.00,Farm and Home Management Educators,2.31,3.18,3.49,4.0,4.28,3.96,2.0,4.83,1.0,Educational Instruction and Library
25-9031.00,Instructional Coordinators,3.48,4.03,4.25,4.0,3.98,1.69,5.0,6.16,6.0,Educational Instruction and Library
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.29,4.7,2.6,4.0,2.39,2.76,6.0,6.41,0.0,Educational Instruction and Library
25-9043.00,"Teaching Assistants, Special Education",2.67,4.16,2.4,4.0,2.96,2.52,6.0,6.93,0.0,Educational Instruction and Library
25-9044.00,"Teaching Assistants, Postsecondary",2.17,4.65,2.79,4.0,3.24,2.06,6.0,6.76,0.0,Educational Instruction and Library
27-1011.00,Art Directors,7.0,3.82,5.31,3.0,2.7,3.02,5.0,2.8,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1012.00,Craft Artists,6.0,2.55,2.9,3.0,1.88,5.86,1.0,1.72,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",7.0,2.34,2.37,3.0,2.68,4.06,1.0,2.27,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1014.00,Special Effects Artists and Animators,7.0,3.22,2.71,3.0,2.8,3.72,1.0,2.11,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1021.00,Commercial and Industrial Designers,5.55,3.48,3.69,3.0,4.05,4.64,1.0,1.84,2.0,"Arts, Design, Entertainment, Sports, and Media"
27-1022.00,Fashion Designers,7.0,2.91,3.97,3.0,2.17,4.32,1.0,2.33,5.0,"Arts, Design, Entertainment, Sports, and Media"
27-1023.00,Floral Designers,4.4,3.93,3.79,1.0,1.72,5.13,3.0,2.46,6.0,"Arts, Design, Entertainment, Sports, and Media"
27-1024.00,Graphic Designers,7.0,3.78,3.61,3.0,2.83,3.2,0.0,2.31,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1025.00,Interior Designers,5.67,3.73,3.34,3.0,3.18,4.43,1.0,2.79,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-1026.00,Merchandise Displayers and Window Trimmers,4.85,3.0,4.21,3.0,1.61,4.44,1.0,2.21,5.0,"Arts, Design, Entertainment, Sports, and Media"
27-1027.00,Set and Exhibit Designers,7.0,3.28,3.91,3.0,2.85,3.56,0.0,3.08,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-2011.00,Actors,7.0,1.67,4.0,3.0,2.13,2.31,4.0,4.1,5.0,"Arts, Design, Entertainment, Sports, and Media"
27-2012.00,Producers and Directors,6.15,3.55,5.78,3.0,2.23,2.14,5.0,3.13,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-2012.03,Media Programming Directors,3.92,4.74,6.75,5.0,2.22,1.28,6.0,3.71,3.0,"Arts, Design, Entertainment, Sports, and Media"
27-2012.04,Talent Directors,5.73,3.51,5.98,5.0,1.41,1.25,3.0,4.33,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-2012.05,Media Technical Directors/Managers,3.49,4.35,4.94,5.0,2.72,3.93,6.0,2.55,1.0,"Arts, Design, Entertainment, Sports, and Media"
27-2021.00,Athletes and Sports Competitors,2.22,2.88,4.51,1.0,1.58,5.0,5.0,4.38,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-2022.00,Coaches and Scouts,2.43,3.44,5.13,4.0,2.15,4.26,5.0,5.31,1.0,"Arts, Design, Entertainment, Sports, and Media"
27-2023.00,"Umpires, Referees, and Other Sports Officials",1.09,4.64,5.69,5.0,1.65,4.38,6.0,3.34,1.0,"Arts, Design, Entertainment, Sports, and Media"
27-2031.00,Dancers,6.32,1.66,3.25,3.0,1.4,4.78,1.0,3.68,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-2032.00,Choreographers,7.0,1.88,3.8,3.0,2.08,3.67,4.0,4.08,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-2041.00,Music Directors and Composers,7.0,2.59,4.77,3.0,2.28,2.04,5.0,3.06,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-2042.00,Musicians and Singers,6.66,2.17,3.41,3.0,1.53,2.87,5.0,3.4,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-2091.00,"Disc Jockeys, Except Radio",4.83,3.5,3.62,3.0,1.53,2.94,5.0,2.96,6.0,"Arts, Design, Entertainment, Sports, and Media"
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,5.55,3.15,4.48,3.0,1.98,1.72,5.0,3.5,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-3023.00,"News Analysts, Reporters, and Journalists",5.09,3.63,3.96,3.0,4.16,1.47,2.0,2.8,5.0,"Arts, Design, Entertainment, Sports, and Media"
27-3031.00,Public Relations Specialists,4.72,3.47,5.81,5.0,2.79,1.0,3.0,3.94,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-3041.00,Editors,5.16,4.85,4.03,3.0,3.11,1.0,6.0,2.51,5.0,"Arts, Design, Entertainment, Sports, and Media"
27-3042.00,Technical Writers,4.22,5.33,1.99,6.0,3.7,2.81,3.0,2.0,2.0,"Arts, Design, Entertainment, Sports, and Media"
27-3043.00,Writers and Authors,6.93,3.18,4.8,3.0,3.26,1.0,5.0,2.84,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-3043.05,"Poets, Lyricists and Creative Writers",7.0,2.84,3.09,3.0,3.83,1.37,2.0,2.75,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-3091.00,Interpreters and Translators,4.4,4.64,1.88,6.0,3.16,1.89,3.0,3.51,4.0,"Arts, Design, Entertainment, Sports, and Media"
27-3092.00,Court Reporters and Simultaneous Captioners,2.96,5.61,2.67,6.0,2.11,2.24,0.0,2.88,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-4011.00,Audio and Video Technicians,3.25,4.58,1.88,1.0,2.75,5.17,6.0,1.98,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-4012.00,Broadcast Technicians,2.79,4.98,2.44,6.0,3.1,4.94,1.0,2.14,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-4014.00,Sound Engineering Technicians,4.44,4.26,1.92,1.0,2.6,5.04,3.0,1.79,6.0,"Arts, Design, Entertainment, Sports, and Media"
27-4015.00,Lighting Technicians,2.39,4.07,1.91,1.0,2.02,6.99,6.0,1.18,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-4021.00,Photographers,5.18,3.43,2.3,1.0,2.29,5.49,3.0,1.85,0.0,"Arts, Design, Entertainment, Sports, and Media"
27-4031.00,"Camera Operators, Television, Video, and Film",5.25,3.5,2.34,3.0,1.97,4.77,1.0,1.84,6.0,"Arts, Design, Entertainment, Sports, and Media"
27-4032.00,Film and Video Editors,5.45,3.99,2.98,3.0,1.97,3.27,6.0,1.87,0.0,"Arts, Design, Entertainment, Sports, and Media"
29-1011.00,Chiropractors,1.35,3.53,2.23,4.0,5.06,5.19,1.0,5.73,2.0,Healthcare Practitioners and Technical
29-1021.00,"Dentists, General",1.15,3.85,1.95,2.0,5.4,5.31,1.0,4.27,4.0,Healthcare Practitioners and Technical
29-1022.00,Oral and Maxillofacial Surgeons,1.22,3.63,2.2,2.0,5.91,5.6,1.0,4.47,4.0,Healthcare Practitioners and Technical
29-1023.00,Orthodontists,1.67,4.75,1.28,2.0,5.84,5.8,1.0,3.94,6.0,Healthcare Practitioners and Technical
29-1024.00,Prosthodontists,1.68,3.41,1.56,1.0,5.63,6.16,2.0,4.45,4.0,Healthcare Practitioners and Technical
29-1031.00,Dietitians and Nutritionists,2.4,3.36,3.42,4.0,4.8,3.03,2.0,5.5,0.0,Healthcare Practitioners and Technical
29-1041.00,Optometrists,1.6,3.92,2.27,2.0,5.78,4.8,4.0,5.02,1.0,Healthcare Practitioners and Technical
29-1051.00,Pharmacists,1.48,4.68,2.53,2.0,5.65,2.88,4.0,4.81,6.0,Healthcare Practitioners and Technical
29-1071.00,Physician Assistants,1.23,4.56,2.07,4.0,4.98,3.79,2.0,5.81,6.0,Healthcare Practitioners and Technical
29-1071.01,Anesthesiologist Assistants,1.0,4.76,1.87,4.0,4.71,4.55,6.0,5.0,2.0,Healthcare Practitioners and Technical
29-1081.00,Podiatrists,1.77,3.17,2.17,2.0,5.69,5.22,1.0,5.06,4.0,Healthcare Practitioners and Technical
29-1122.00,Occupational Therapists,3.05,3.06,1.81,4.0,4.34,3.48,2.0,6.13,0.0,Healthcare Practitioners and Technical
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.2,2.83,2.12,4.0,3.89,3.93,1.0,6.52,2.0,Healthcare Practitioners and Technical
29-1123.00,Physical Therapists,2.17,3.08,2.49,4.0,4.87,4.34,2.0,5.91,1.0,Healthcare Practitioners and Technical
29-1124.00,Radiation Therapists,1.23,4.52,1.73,1.0,4.64,4.88,4.0,4.75,2.0,Healthcare Practitioners and Technical
29-1125.00,Recreational Therapists,3.03,2.5,2.52,4.0,4.17,3.82,2.0,6.86,0.0,Healthcare Practitioners and Technical
29-1126.00,Respiratory Therapists,1.0,3.84,1.72,4.0,4.81,4.92,1.0,5.05,2.0,Healthcare Practitioners and Technical
29-1127.00,Speech-Language Pathologists,2.97,4.03,1.43,4.0,5.63,2.69,2.0,5.91,6.0,Healthcare Practitioners and Technical
29-1128.00,Exercise Physiologists,1.68,3.52,3.07,1.0,4.87,5.06,2.0,4.82,4.0,Healthcare Practitioners and Technical
29-1129.01,Art Therapists,5.81,2.49,2.33,4.0,3.37,2.98,3.0,5.86,0.0,Healthcare Practitioners and Technical
29-1129.02,Music Therapists,5.16,2.88,2.56,4.0,3.86,2.16,3.0,5.52,2.0,Healthcare Practitioners and Technical
29-1131.00,Veterinarians,1.0,3.52,1.71,1.0,5.94,5.97,2.0,3.43,0.0,Healthcare Practitioners and Technical
29-1141.00,Registered Nurses,1.31,4.58,2.28,4.0,4.82,3.66,2.0,5.62,6.0,Healthcare Practitioners and Technical
29-1141.01,Acute Care Nurses,1.48,3.49,1.62,4.0,5.41,4.04,2.0,5.87,1.0,Healthcare Practitioners and Technical
29-1141.02,Advanced Practice Psychiatric Nurses,2.62,3.84,1.83,2.0,5.92,2.74,4.0,5.89,0.0,Healthcare Practitioners and Technical
29-1141.03,Critical Care Nurses,1.58,3.92,2.07,4.0,5.07,4.1,2.0,5.5,1.0,Healthcare Practitioners and Technical
29-1141.04,Clinical Nurse Specialists,1.71,4.21,3.92,4.0,4.97,2.42,2.0,6.09,6.0,Healthcare Practitioners and Technical
29-1151.00,Nurse Anesthetists,1.0,4.25,1.92,4.0,4.94,5.0,1.0,5.18,2.0,Healthcare Practitioners and Technical
29-1161.00,Nurse Midwives,1.91,3.41,2.92,4.0,4.33,3.42,2.0,5.85,0.0,Healthcare Practitioners and Technical
29-1171.00,Nurse Practitioners,1.31,4.28,2.13,2.0,5.52,3.67,4.0,5.36,6.0,Healthcare Practitioners and Technical
29-1181.00,Audiologists,2.13,4.16,1.61,2.0,6.03,4.09,4.0,5.76,6.0,Healthcare Practitioners and Technical
29-1211.00,Anesthesiologists,1.13,3.95,2.48,2.0,5.77,5.13,4.0,5.22,1.0,Healthcare Practitioners and Technical
29-1212.00,Cardiologists,1.16,4.01,2.3,2.0,6.86,4.97,1.0,4.73,4.0,Healthcare Practitioners and Technical
